radar_include,app_CODE,App_name,app_image,Author,Linked_megatrends,main_mega_link,Count mega trends,linked_microtrends,micro_code_list,MicroT #1,MicroT #2,MicroT #3,MicroT #4,MegaT #1,MegaT #2,MegaT #3,MegaT #4,App_description,filter_lists,implementation,technology,partner,what_do?
0,MULTCITI,Multicultural Cities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,"With an increasing number of open borders and conflit fleeding populations, big cities incorporate the work of more and more nationalities. This forces cultures to cohabit in the same spaces, having influences in food and cultural options available.",apagar,1,0,0,
1,VOICCONT,Voice Control,https://cdn.pixabay.com/photo/2018/02/14/21/18/audio-3153963_960_720.jpg,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"Interfacing is a hot topic nowadays. Depending on the industry, a platform's ease of use (or lack thereof) can overturn entire business ventures. It is unquestionable that we veer towards a future where human-machine interfaces are more organic, aiming to eradicate learning curves.
Currently, voice control is, with little doubt, the closest we have to achieving the fluidity necessary for this - we certainly must teach someone what ""Ctrl+A"" is, and does anything interesting, but shouting ""Hey Siri, play me the Beatles"" comes second to language (and some good taste...).",Human Resources,5,1,2,
1,MOTICONT,Motion Control,http://www.flamanko.com/wp-content/uploads/nathan-fertig-334383-1920x1080-c-default.jpg,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"Another iteration in the new interface world, motion control is one that ambitions (arguably) the easiest learning processes. Motion for control is an obvious extension of our sensorial world. A trivial example is the simple but revolutionary ""pinch-to-zoom"" gesture popularised to omnipresence (and usually attributed to Apple's first iPhone).",logistics,2,5,6,
1,BIOMVALI,Biometric Validation and Analytics,https://d1sr9z1pdl3mb7.cloudfront.net/wp-content/uploads/2018/05/25115416/universal-biometric-identity-1024x576.jpg,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"People use their unique biological traits to be identified, manage access to resources or authorize payments through voice, fingerprint or iris recognition. After the biometric identification employees, partners and customers access admission-controlled assets (e.g. offices, technical areas, or lockers) or classified information (e.g. interaction with customer care, or APPs) without using codes or cards.",pcg,3,3,8,
1,REFIPACK,Refill Packages/Reusable Packages,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,"The awareness to the plastic residues problem is forcing some action into rethinking the end-of-life of products, namely their packages. A solution passes through refilling ou separating more thoroughly and sending back to producer in order to reuse packages. ",Human Resources,3,0,2,
1,OMNIBULK,Omnichannel bulk foods,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,"Since omnichannel is a given right to the customer in several funcionalities, it is expected that bulk foods also reach the online basket.",logistics,2,0,1,
1,FOODPREP,Instore Food Preparation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,"Lives are changing, with easy access to different lifestyles people may not be dedicated to traditional activities anymore. This means that tasks like buying raw and cooking may be replaced for ordering in, having take-away food or eating out. By transforming supermarkets into food preparation locations we are creating an in-between of restaurants and home-cooking. ",apagar,1,2,6,preencher
1,CORPOASI,Corporate Oasis,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Corporate Campuses,MT24,MT24,,,,Corporate Responsibility,,,,"While Flexible Workplaces is an unquestionable trending success, there is always going to be a core mass of work that gravitates around physical headquarters. There is a parallel trend turning corporate headquarters into small cities. Whether it is one of the FAANG giants or an group of smaller companies, workers rejoice when finding all amenities within walking distance from work.
Forgot your allergy meds? Take a break and visit the pharmacy. Sick of traffic? Get up early and use that time in the work gym instead. Need to restock groceries? Walk by the supermarket when you get off.",Human Resources,3,0,1,
0,LEARFACI,Learning facilitators,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,,apagar,0,0,0,"kill, partners -> continuous"
1,CONTTRAI,Continuous Employee Training,https://thewire-cableonebiz.com/wp-content/uploads/2017/12/thewire-The-Importance-of-Continuous-Training-for-Employees.jpg,jgp,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,"The new technological revolution is drastically decreasing the average half-life of learned skills. Thus, it's of the utmost importance for companies and employees to adapt to the roulette of new scenarios by gathering as many tools as possible. Knowledge is quantic nowadays. ",pcg,8,2,9,
0,OPENCOUR,Open online courses,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,Offering open enrollment courses through the web/mobile.,apagar,0,0,0,
1,EDUCRETA,Educational retail,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,Organizing courses and workshops to help customers make the best choices and the best use of the products/services they buy.,logistics,2,0,0,
1,TRIBECOM,Tribalize eCommerce,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Continuous Connection


",vocabulary_ich_1268,1,Fear Of Missing Out,MT37,MT37,,,,Continuous Connection,,,,"Addressing the need to belong is the oldest commercial trick in the book. People want to be a part of something and brands must be able to address that social requirement. The good news is that the digital transformation that we're living in is boosting the businesses' ability to do it.

The digital age is skyrocketing the (peer) pressure through the roof, which, for retailers, represents both an opportunity (the feeling of emergency and the fear of missing out are sales drivers) and a threat (people's increasing desire to disconnect and to subscribe to digital detox programs or lifestyles).",apagar,1,0,0,preencher
1,TEMPCAMP,Temporary Exclusive Campaigns,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Continuous Connection


",vocabulary_ich_1268,1,Fear Of Missing Out,MT37,MT37,,,,Continuous Connection,,,,"Brands are living inside its customers' pockets 24/7. The ability for retailers to create the feeling of emergency is, therefore, higher than it ever was. 

People want to belong and to feel unique and businesses have an unprecedented opportunity to take advantage of those (apparently) paradoxical needs.",Human Resources,3,0,2,
1,WORKFLEX,Total work flexibility,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Seamlessness/Ease
Experiences

",vocabulary_ich_1269,2,"Flexible Workplaces,Meaningfull Work","MT38,MT42",MT38,MT42,,,Seamlessness/Ease,Experiences,,,"It's not just about flexible hours or hot desks anymore. Different employees have different needs and now more than ever, companies must be willing to listen and to accommodate as many requirements as possible.",logistics,2,1,5,
1,UNDOOFFI,Undocked offices,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Seamlessness/Ease


",vocabulary_ich_1269,1,Flexible Workplaces,MT38,MT38,,,,Seamlessness/Ease,,,,"Nowadays, ""half the world away"" is at a distance of a WIFI password. The ability to access information and to communicate from anywhere, at anytime, is reshaping the office paradigm and the way teams collaborate. The generation of global citizens is now paving the way to the new wave of global coworkers.",pcg,4,1,4,
1,COWOSPAC,Coworking spaces/communities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Seamlessness/Ease


",vocabulary_ich_1269,1,Flexible Workplaces,MT38,MT38,,,,Seamlessness/Ease,,,,Offering spaces in store that invite and provide adequate conditions for customers to work and organize gatherings. ,Human Resources,3,0,0,
0,REMOWORK,Remote workforce,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Seamlessness/Ease


",vocabulary_ich_1269,1,Flexible Workplaces,MT38,MT38,,,,Seamlessness/Ease,,,,Allowing employees to work partly or mainly from other places than office.,apagar,0,0,0,
0,OUTDWORK,Outdoor workspaces,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Seamlessness/Ease


",vocabulary_ich_1269,1,Flexible Workplaces,MT38,MT38,,,,Seamlessness/Ease,,,,Creating open air workspaces within company premises and/or allowing employees to work in open air spaces.,apagar,0,0,0,
1,SUBSPROT,Substitute Proteins,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Hiper Personalization
Experiences

",vocabulary_ich_1267,2,"Flexitarianism,Healthy Junk Food","MT10,MT31",MT10,MT31,,,Hiper Personalization,Experiences,,,"In a world that cannot support the current consumption of protein sources, alternatives are being developed to deliver the same taste, structure or nutritional value of what it intents to replace.",Human Resources,8,5,31,
1,FLEXCAMP,Flexitarian campaigns,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Hiper Personalization


",vocabulary_ich_1267,1,Flexitarianism,MT10,MT10,,,,Hiper Personalization,,,,"Newer generations understand that in order to have a future livable world, some changes in lifestyle have to be made, like reducing the consumption of meat to a more sustainable and healthy intake. ",logistics,5,0,1,
1,GLASSBOX,Glass Box Companies,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,"Food Transparency,Transparency (Non-Food)","MT09,MT05",MT09,MT05,,,Corporate Responsibility,Corporate Responsibility,,,"Coming partly as a response to consumers' loss of confidence in the corporate world, the glassbox model is the most honest and radical stance relative to transparency and accountability - the companies adopting this model tend to openly disclose company policy (e.g. hiring practices, salary) and veer towards open-source development. When faced with a complication that could turn into a scandal/outrage, these agents announce that fact along with efforts being made to correct the wrong, instead of trying to quietly resolve the matter before it is discovered.",apagar,1,0,3,
1,TRACEABI,Traceability applications,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,"Food Transparency,Transparency (Non-Food)","MT09,MT05",MT09,MT05,,,Corporate Responsibility,Corporate Responsibility,,,Provide tools that ease the collection and reading of traceability information of food and non-food products. Adopting solutions and establishing partnerships that enable a supply-chain-wide traceability will help any company raise consumer trust as well as improving internal accountability.,Human Resources,3,9,28,
1,ETHIINFO,Ethical and Sustainable Information,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Food Transparency,MT09,MT09,,,,Corporate Responsibility,,,,Information by request is already a reality in a selection of fields. Food past and characteristics seem like a logical next step that may align with the crescendo of worries about the environment and a fairer world.,logistics,2,1,1,
1,CLEALABE,Clean Label,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Food Transparency,MT09,MT09,,,,Corporate Responsibility,,,,"Minimalism and healthy trends give result to clean labels. This is a method to turn packages clearer and enlight customers of everything that is inside a package, so that people know exactly what they are consuming. ",pcg,5,6,23,
1,CULTOFFE,Multicultural Facilities and Offer,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Corporate Responsibility
Experiences

",vocabulary_ich_1284,2,"Foreign Residents,Welcome Tourism","MT16,MT26",MT16,MT26,,,Corporate Responsibility,Experiences,,,Living in a world of personalization means stop applying the one size fits all to everyone and that means accepting people in their differences in more serious environments.,apagar,0,0,0,preencher
0,FOODMDCN,Food as Medicine Counseling,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,Functional Food,MT30,MT30,,,,Health And Wellness,,,,,apagar,0,0,0,kill
1,FUNCFOOD,Range of Functional Food,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,Functional Food,MT30,MT30,,,,Health And Wellness,,,,People are valuing what are called superfoods and non-empty calories since they start to make associations of benefic effects by the intake of certain foods. Therefore including superfoods and the right nutrient quantities in prepackaged foods as well as communicating so efficiently may add value for the customer.,pcg,5,2,7,
0,NON-CALO,Non-empty Calories,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,Functional Food,MT30,MT30,,,,Health And Wellness,,,,,apagar,0,0,0,kill
1,FOODPURP,Food Purpose Communication,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Health And Wellness


",vocabulary_ich_1264,1,Functional Food,MT30,MT30,,,,Health And Wellness,,,,"In these times of unprecedented scrutiny, brands are expected to clearly communicate the practical benefits of their products.",logistics,2,2,2,
0,INCLFACI,Inclusive Facilities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility
Experiences

Seamlessness/Ease",vocabulary_ich_1284,3,"Genderless / Gender Neutral,Welcome Tourism,Foreign Residents,Flexible Workplaces","MT32,MT26,MT16,MT38",MT32,MT26,MT16,MT38,Corporate Responsibility,Experiences,Corporate Responsibility,Seamlessness/Ease,,apagar,0,0,0,
1,GENDDESI,Genderless Design,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Genderless / Gender Neutral,MT32,MT32,,,,Corporate Responsibility,,,,"Design as been long associated with gender. Genderless design is interpreted as a design style that breaks stereotypes associated with gender-norms. This may be applied to food mainly in the low-carb/light and healthy categories, that are no longer just a female worry. ",apagar,1,0,0,preencher
1,NUTRCOUN,Nutritional Personal Counseling,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,"Gut-Friendly Food,Health Consciousness,Functional Food","MT14,MT08,MT30",MT14,MT08,MT30,,Health And Wellness,Health And Wellness,Health And Wellness,,"With specific tests being more affordable - like genetic tests - diet plans can be more informed and tackle different types of bodies and what works for them.
Some doctors are realizing that they should tackle more prevention, intead of just aliviating the symptoms of sickness. A movement is therefore created to force the entry of more informed nutritional decisions into their prescriptions, taking advantage of foods intead of drugs.",apagar,1,3,7,
1,PROBIOTI,Range of Gut-Friendly Food,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Health And Wellness


",vocabulary_ich_1264,1,Gut-Friendly Food,MT14,MT14,,,,Health And Wellness,,,,"While many consumers are actively making the choice to reduce or avoid certain foods (think anything dairy, gluten, eggs, meat…), a significant lot would happily resume their intake if they could. This represents a great part of the appeal in pro+prebiotics, where you healthily repopulate the gut microbiome and feed it as well, to hopefully lead a non-eventful gut-routine and maybe even ease or eliminate some of your intolerances and sensitivities.",apagar,1,1,2,preencher
0,FREEFROM,Free From Products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Health And Wellness


",vocabulary_ich_1264,1,"Gut-Friendly Food,Functional Food","MT14,MT30",MT14,MT30,,,Health And Wellness,Health And Wellness,,,,apagar,0,0,0,
1,HEALSUPP,Health Support Range,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Health And Wellness


",vocabulary_ich_1264,1,Health Consciousness,MT08,MT08,,,,Health And Wellness,,,,Provide a range of products that ease the health monitoring. A range of services that take advantage of these health monitoring devices such as sleep advising.,logistics,8,8,20,
1,PROMHEAL,Promote and Communicate Health,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Health And Wellness
Hiper Personalization

",vocabulary_ich_1264,2,"Health Consciousness,Flexitarianism","MT08,MT10",MT08,MT10,,,Health And Wellness,Hiper Personalization,,,"Besides providing products with heathy features, communicate these features through the adequate channels. People are eager to learn more about health, so provide information for customers and employees about what is healthy (foods and behaviours) and promote discussions about pros and cons of controversy topics.

Create initiatives for customer and for employees that promote healthy habits such as sports events, or educative workshops about food, postures, or stress management.",pcg,3,6,12,
1,HEALINDU,Healthier Versions of Indulgences,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Health And Wellness
Informed People
",vocabulary_ich_1287,3,"Healthy Junk Food,Health Consciousness,Liquid Expectations","MT31,MT08,MT18",MT31,MT08,MT18,,Experiences,Health And Wellness,Informed People,,"While the attention to health as increased, the role of food as an emotional tool has not changed. Therefore by creating alternative indulgences, more healthy, it is allowed a free-guilt consumption.   ",Human Resources,4,1,6,
0,GRMTJNKR,Gourmet Junk Foods in restaurants,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Informed People

",vocabulary_ich_1287,2,"Healthy Junk Food,Liquid Expectations","MT31,MT18",MT31,MT18,,,Experiences,Informed People,,,,apagar,0,0,0,kill
1,GRMTJNKK,Gourmet Junk Food,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Experiences
Informed People

",vocabulary_ich_1287,2,"Healthy Junk Food,Liquid Expectations","MT31,MT18",MT31,MT18,,,Experiences,Informed People,,,"While the attention to health as increased, the role of food as an emotional tool has not changed. Therefore by creating alternative indulgences, more healthy, it is allowed a free-guilt consumption.  Restaurants like gourmet burger houses and wholewheat pizzas are spreading. ",apagar,0,0,1,preencher
1,QICKDLVR,Quick deliveries,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Continuous Connection
Seamlessness/Ease

",vocabulary_ich_1268,2,"Instant Gratification,Quicker Frequent Shopping","MT36,MT21",MT36,MT21,,,Continuous Connection,Seamlessness/Ease,,,"It is now up to companies and institutions to invest in two complementary and necessary venues: transparency so that the person never feels they're being misled and privacy protection methods and structures.

Talk about FREQUENT ONLINE deliveries",Human Resources,7,3,4,
1,REWASTEP,Reward for each Consumer Journey Step,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Continuous Connection


",vocabulary_ich_1268,1,Instant Gratification,MT36,MT36,,,,Continuous Connection,,,,"Now that each individual is a continuous data generation machine, people expect a clear benefit for each step of their shopping experience. The ability to convert pain points into perks will be one of the main factors to earn people's preference.",apagar,1,0,8,
1,SOCICOMM,Social Network Commerce,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Continuous Connection


",vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,,apagar,1,1,3,
1,VLOGGING,Vlogging,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Continuous Connection


",vocabulary_ich_1268,1,Lifecasting,MT28,MT28,,,,Continuous Connection,,,,"Vlogging has undeniable power, akin to old-timey blogging and their respective influencer community. This is the more organic way of keeping up with friends, celebs or anyone you follow and for a good reason, it is more authentic, personal, human - often even done live for an interactive experience, in essence, a simultaneous conversation with thousands of fans/friends/followers.",apagar,0,0,0,preencher
1,CHEACHEA,As cheap as the cheapest,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,Not every entity has the magnitude of Facebook to withstand the loss of trust and finantial hit breach after breach.,logistics,2,22,74,
1,SIMPSHOW,Simple and beautiful showrooms,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,"One can simply look over to China for cases of this application, but it is easily explained by the shift in the role brick-and-mortar increasingly plays in society: it is no longer the convenient option (that part will be played by e-commerce), people expect to be wowed and to be assisted when going through the effort of going to a physical store. The physical world is needed for knowledgeable advice on a brand's product range and for consumers to get hands-on with what they are looking for in an inspiring setting.",pcg,4,1,2,
1,CONVCONV,As convenient as the most convenient,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Informed People


",vocabulary_ich_1263,1,Liquid Expectations,MT18,MT18,,,,Informed People,,,,People's expectations are spilling over from one industry to another and between different mediums. Consumers want their visits to the supermarket to be as convenient as their online shopping experiences and their clothing stores to look like a museum.,Human Resources,14,11,31,
1,AUTOTASK,Automate repetitive tasks,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Experiences


",vocabulary_ich_1287,1,Meaningfull Work,MT42,MT42,,,,Experiences,,,,The tech revolution is shaping the future of work into an unpredictable mix of machine-automated and machine-enhanced tasks.,logistics,5,9,24,
0,JOBROTAT,Job rotation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Experiences


",vocabulary_ich_1287,1,Meaningfull Work,MT42,MT42,,,,Experiences,,,,Promote the rotation of jobs mostly when the tasks are too physical demanding or do not promote intellectual development.,apagar,0,0,0,kill
1,SMALFORM,Small form factors,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Hiper Personalization


",vocabulary_ich_1267,1,Mini-Doses,MT41,MT41,,,,Hiper Personalization,,,,"Develop single dose products in all ranges in food, hygiene and home care. Packaging must be innovative to provide economic and environmental sustainability.",Human Resources,4,3,4,
1,VIRTCARD,Virtual Card Acceptance,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Seamlessness/Ease
Informed People

",vocabulary_ich_1269,2,"Mobile Payments,Liquid Expectations","MT23,MT18",MT23,MT18,,,Seamlessness/Ease,Informed People,,,The adoption of cards for payments instead of money has been settled as a rule already. With smartphones being an extension of their owners it makes only sense that payments get digital.,logistics,3,0,1,
1,LUXURANG,Luxury in every range,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,New Luxury,MT34,MT34,,,,Informed People,,,,"Offering products/services perceived as sophisticated, exquisite or luxurious at an affordable price.
Despite the undeniable persistence and growth of traditional luxury ranges (Rolls Royce sedans, Louis Vuitton handbags or Chateau Petrus bordeaux), we witness today that consumers will seek and purchase luxury in sectors and brands customarily positioned for a completely different target.",pcg,5,0,0,
1,ADAPCONV,Adapt the conversation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,jgp,"Hiper Personalization


",vocabulary_ich_1267,1,Non-Linear Interactive Video Content,MT20,MT20,,,,Hiper Personalization,,,,Adopt new models to access content. People are quitting classical media and moving towards platforms where they can choose the content they want when they want it.,logistics,2,0,2,
1,SILVSURF,Silver Surfers,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Informed People


",vocabulary_ich_1263,1,Old Age New Millenials,MT06,MT06,,,,Informed People,,,,"The senior audience is a very underexplored audience, especially in fields usually developed with younger consumers in mind (think consumer electronics and online marketplaces). There is no shortage of services and tools to leverage access to your offer for a previously underestimated and underapreciated audience.",pcg,2,0,0,
