radar_include,trend_id,trend_title,trend_id_2,Impact,Certainty,main_mega_trend,count_apps,apps_list,apps_code_list,new_description,word_count,old_description,Authenticity/Disconnection,Continuous Connection,Experiences,Health And Wellness,Hiper Personalization,Informed People,Corporate Responsibility,Seamlessness/Ease,Sustainability,micro_image,article_name_list,article_url_list,article_name1,article_url1,article_name2,article_url2,article_name3,article_url3,relevance_horizon,threat_categories
1,MT11,A-Commerce,MT11,High,High degree,Seamlessness/Ease,0,"Virtual Assistants
Automatic Order and Checkout
Automatic Styling or Curatorship
","VIRTASSI,AUTOORDE,AUTOSTYL",Technology has finally matured enough for customers to start trusting it to avoid some of the most inefficient parts of their shopping experience. Machine learning is helping people to complete their shopping list while artificial vision is enabling the skipping of those never-ending checkout lines. Many other applications are being implemented to optimize people’s time and maximize their life quality. ,61,"Because in 2018, shoppers with more important things to do – and that’s all of them – will embrace the outsourcing of certain retail experiences to algorithms and smart devices. A world of A-COMMERCE means the automation of hunting, negotiating, purchasing, delivery arrangements and more. ",,10,,,,10,,80,,https://images.pexels.com/photos/1781489/pexels-photo-1781489.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1263,vocabulary_ich_1269"
1,MT12,Eternal Newbies,MT12,High,High degree,Sustainability,4,"Learning facilitators
Continuous Employee Training
Open online courses
Educational retail
","LEARFACI,CONTTRAI,OPENCOUR,EDUCRETA","The massification of online courses reflects the increasing effort that is needed nowadays to keep up with technology advancements. Knowledge is more accessible then ever, but also more volatile. Learning is a continuous process and people are looking for the right tools to keep on board of the train to the future. ",53,"As many as 30 percent of respondents say new technology makes it impossible to keep their skills up to date. This means some of us feel like total beginners even when performing everyday routine tasks.
The pace of technological change is increasing almost every day, and it is easy to feel stress at not being able to keep up. For some, this is probably manifested as a feeling of helplessness. [1] But for many, it may present an opportunity. In fact, almost half of consumers think technology will make learning even advanced professions much quicker. On the other hand, endeavors to learn and relearn will be a never-ending rat race, with 55 percent believing that technological change will accelerate the pace of change in skills needed at work. ",,,,,,20,30,,50,https://images.pexels.com/photos/313690/pexels-photo-313690.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,1 to 2 Years,"vocabulary_ich_1263,vocabulary_ich_1284,vocabulary_ich_1286"
1,MT13,Renewable Charged Future,MT13,High,High degree,Sustainability,5,"Internalize Renewable energy 
Commercialize Renewable energy 
Electric Trucks 
Electric Transportation
Auto-sustainable stores & companies
","INTERENE,COMMRENE,ELECTRUC,ELECDELI,AUTOSUST","Collected from renewable sources such as sunlight, wind, rain, tides, waves and geothermal heat, renewable energy is charging the future. “It is expected that by 2040 the production of renewable electricity will be able to guarantee, in a cost-effective way, the total annual electricity consumption of mainland Portugal” advanced the Portuguese Renewable Energy Association as in March 2018, renewable energy generated 104% of Portugal’s electricity consumption. According to the same source, this successful event demonstrated that “renewable energy can be relied upon as a secure and viable source with which to completely meet the country’s electricity demands”. Some of the biggest companies in the world, including Apple, Facebook, Google, and Microsoft, are massively buying renewable energy and, consequently, reshaping the entire supply chain. “The IT sector has been responsible for more than 7GW of new renewable energy globally – enough to power 5m homes” says Gary Cook, Greenpeace’s senior corporate campaigner. ",152,"A connected world will require mobile power. Keeping the power flowing will be as critical as maintaining connectivity; if either goes down, instant disruption will ensue.
There are of course many aspects to how we will power our hyper-connected lives. Sustainability of resources might be one reason why consumers now rate electricity as the most popular energy source – 48 percent even think electricity should power airplanes. ",,,,,,,40,,60,https://images.pexels.com/photos/1108814/pexels-photo-1108814.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,1 to 2 Years,"vocabulary_ich_1284,vocabulary_ich_1286"
1,MT14,Gut-Friendly Food,MT14,High,High degree,Health And Wellness,1,"Nutritional Personal Counseling
Range of Gut-Friendly Food
Free From Products
","NUTRCOUN,PROBIOTI,FREEFROM","Without touching the discussion topic to what caused this movement, it is unquestionably that there is a fast-rising concern for how ""gut-friendly"" the food we buy really is. Fashionable expressions such as pro or prebiotics are dealbreakers in the daily choices made by a growingly significant segment of society. To the unaware, the myriad of intolerances we hear about seems to have sprung from nowhere, but it certainly drove an unforeseen demand for the likes of tempeh, kefir, kimchi, flaxseed, and anything else that helps the consumer to steer clear from the wide selection of ingredients they've found harmful (think gluten, sat, unsat or trans fat, lactose, etc...).",108,"2017 was full of lactose, dairy and gluten intolerances. So this year, everyone’s going to be looking out for your gut. With fermenting, pickling and preserving gaining popularity for their gut benefits, foods such as a kimchi, miso and kefir will be seeing a surge in 2018. 


Read more at:
//economictimes.indiatimes.com/articleshow/62466825.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst",,,,50,20,,30,,,https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1284"
1,MT15,Zero Waste,MT15,High,High degree,Sustainability,2,"Alternative materials to plastic
Reusable Packaging
Rethink packages
Sustainability Evangelization
Recycle 
Waste based products
Optimize Product Life Cycle
","ALTEPLAS,REUSPACK,RETHPACK,EDUCCUST,RECYCLES,WASTBASE,OPTICYCL","Less than a quarter of the food that is wasted in the US, UK and Europe could feed the one billion hungry people all around the world. With an estimation of 1.3 billion tonnes of food being wasted every year, people are looking for this topic with particular concern and expect the companies where they spend their money to tackle this issue.",62,"By taking environmental impacts and the extent of food waste into consideration, consumer behaviour is shifting with individuals becoming more ethically inclined. As costs of living increase, individuals are focusing on ensuring zero waste when cooking from home. Waitrose suggested that instead of following three meals a day or eating excessively, consumers tend to graze throughout the day and adjust their eating routine to suit their busy lives. Likewise, fewer people are choosing to do a weekly ‘big shop’, and are instead opting to purchase fresh produce multiple times per week. This behaviour will continue to contribute to reducing waste, as less product is being thrown out. According to Whole Foods, food manufacturers are responding to this shift in consumer behaviour and values “by using parts of plants or animals that were once considered trash, such as pickled watermelon rinds or broccoli-stem slaw”.

",,,,,,,40,,60,https://images.pexels.com/photos/128421/pexels-photo-128421.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1284,vocabulary_ich_1286"
1,MT16,Foreign Residents,MT16,High,High degree,Corporate Responsibility,0,"Multicultural Facilities and Offer
Inclusive Facilities
Omnilingue
","CULTOFFE,INCLFACI,OMNILING","Total foreign residency in Portugal has been steadily rising for a few years, to a point where a significant demographic segment has different primary languages and cultures. If the current political climate remains relatively stable, this is only expected to accelerate.
With today's advances in personalization, behavior analysis and related tools, great oportunities lie in adjusting supply to a changing customer base.",61,"In particular the French, could mean great opportunities. Also economic migrants etc.",10,,10,,,,70,10,,https://images.pexels.com/photos/109919/pexels-photo-109919.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1284,vocabulary_ich_1269"
1,MT17,Online Learning,MT17,High,High degree,Seamlessness/Ease,0,,,"Today's means of acquiring knowledge in any topic is widely different from a few years ago. Content creation in the web today has reached a granularity that allows for whomever, with whichever skillbase to quickly find informative content from the most practical topics such as ""How to: fry, bake, poach and scramble eggs"" to the most complex and abstract subjects in Advanced Mathematics or Quantum Mechanics.
While true volume exists mostly in english, with instant contextual translation making strides, it is all quickly being democratized to all.
This trend is being felt at the corporate level too, with Google, Apple and other powerhouses announcing that academic degrees are no longer weighted the way they were.
Companies should much rather employ someone who can quickly and effectively learn skill X when current standard Y turns obsolete than a proven expert in Y.",138,"Tambem inclui saber como demolhar bacalhau: tutoriais youtube
2. The next wave of learning credentials. One of the most disrupted industries is education, with more third parties offering courses, credentials and certifications than ever before. There is now an abundance of online courses provided by LinkedIn Learning, Coursera, edX, Udemy, Udacity, The Khan Academy and others. Pew Research reports that self-directed learning is driving the need for new credentialing systems. More employees will be accepting different types of credentials as they seek to build diverse talent pools and expand their reach. Almost three out of every four adults agrees that individuals have the responsibility to make sure that the workforce has the right skills and education to be successful in today's economy compared to only 52% of colleges and 49% of employers. Younger generations are starting to resist the traditional degree due to the ever increasing cost of tuition, which grew by nine percent from last year for four-year public schools. Some are avoiding college altogether and are pursuing these free or low cost online courses that provide enough education on important skills to get by. As companies continue to accept non-traditional credentials, students will be able to avoid debt and study at their own convenience, without fear of unemployment.",,,10,,,20,20,40,10,https://images.pexels.com/photos/6335/man-coffee-cup-pen.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286"
1,MT18,Liquid Expectations,MT18,High,High degree,Informed People,3,"Healthier Versions of Indulgences
Gourmet Junk Foods in restaurants
Gourmet Junk Food
As cheap as the cheapest
Simple and beautiful showrooms
As convenient as the most convenient
Virtual Card Acceptance
","HEALINDU,GRMTJNKR,GRMTJNKK,CHEACHEA,SIMPSHOW,CONVCONV,VIRTCARD","People will compare players, even from different industries, using the same criteria. Customers are indifferent to cost structure: if a store offers free bags, they'll expect the same treat from every other store. To stay competitive, companies should be able to optimize their cost structure and establish what's essential to provide what the customers are expecting. To do so, they must understand that people's expectations can come from the least expectable places.",72,"People are not available to pay much for commodities. Companies need to control the costs to serve even better. Ver o exemplo das  Companhias Low cost.

Gone are the days where customers would only compare you to your direct competitors. Today's customer compares you to all brands with which they interact. Accenture refers to this phenomenon as “Liquid Expectations.” For example, even if Apple's products don't compete with yours, customers are comparing your website to Apple.com.

Another example is Delta: if you call them to check on your flight, they identify you using your phone number and provide relevant flight information without requiring any other input from you. But the next time you're shopping online and start a chat, you're disappointed when the company doesn't know who you are and instantly provide relevant information. You wonder, if Delta can do it, why can't this website do it? Companies need to recognize that customers have Liquid Expectations, and adopt a broader, more holistic view of how customers interact with the world.",10,,10,,10,70,,20,,https://images.pexels.com/photos/1028637/pexels-photo-1028637.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Fluid Expectations in Placemaking: Four Trends and Strategies,https://medium.com/vamonde/fluid-expectations-in-placemaking-four-trends-and-strategies-1f2a5b31f247,Fluid Expectations in Placemaking: Four Trends and Strategies,https://medium.com/vamonde/fluid-expectations-in-placemaking-four-trends-and-strategies-1f2a5b31f247,,,,,> 2 Years,"vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1263,vocabulary_ich_1269"
1,MT19,Aging Workforce,MT19,High,High degree,Corporate Responsibility,2,"Empower and Raise awareness
Grey Gigs
","EMPOAWAR,GREYGIGS","It is no secret that the portuguese demographic pyramid is getting dangerously top-heavy. What may be changing, at least in the professional market, is what companies can use to face this threat. Companies should brace for a powerful hit in the form of retirement benefits and healthcare as baby boomers maintain leadership and it simultaneously becomes harder to attract (and maintain) young talent. The uberization of every field is one way this is being tackled (or rather, circumvented), but awareness (and investment along with it) needs to increase for companies to find creative ways of facing this looming threat.",99,"The workforce is continuing to age, with baby boomers living longer than previous generations and retiring later. About three in every four Americans plan to work past retirement age and almost two-thirds said they will continue to work part-time. Pew Research estimates that the number of people 65 and older is projected to triple by mid-century from 531 million in 2010 to 1.5 billion by 2050. The population of seniors in the U.S. is expected to more than double from 41 to 86 million during this time and almost triple in China from 8.3% in 2010 to 24% by 2050. About ten thousand baby boomers turn 65 each day, yet fewer than half said they expect to retire by 65. Just over a third of companies are preparing for this projected increase in older workers and it will come at a major cost to companies in the form of retirement benefits, healthcare and equal opportunity. As baby boomers maintain their leadership positions, it will be harder for younger workers to rise up in their organizations and could lead to higher turnover, stress and frustration.

",,,,,,,100,,,https://images.pexels.com/photos/1254690/pexels-photo-1254690.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,vocabulary_ich_1284
1,MT20,Non-Linear Interactive Video Content,MT20,High,High degree,Hiper Personalization,1,"Adapt the conversation
",ADAPCONV,"Over the last few years, society has embraced connected devices and progressively divorced traditional linear content services. Over-the-top (OTT) video from players such as Netflix, Amazon Fire TV, Apple TV or Roku had a delayed start in the Portuguese market, as is usual, but this makes it all the more relevant for side business to rethink their content design and marketing. Advertisers today have a blank canvas full of opportunities to connect with consumers in a previously impossibly organic, personalized manner.",81,"WIDE ADOPTION AND MARKET GROWTH FOR CONNECTED TV
Over the past five years, TV viewers have embraced connected devices from brands like  Amazon Fire TV, Apple TV, Roku and others as a way to watch programming. While linear TV still represents the majority of viewers’ watch time—with over 132 hours of linear TV viewing per month versus 42 hours per month using connected TV devices—there's no question the OTT space is a major growth market.

At Nielsen, our data shows that two-thirds of Americans own at least a single connected device, enabling 224 million people to consume media and advertising on their terms, from catching a live episode of their favorite sitcom to binge-watching an entire season of a show through an OTT app. Simply put, connected TV has made living room viewing a more personalized, choice-driven experience and has opened the door to new premium opportunities for advertisers to connect with consumers.",,,,,80,20,,,,https://images.pexels.com/photos/265685/pexels-photo-265685.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1267,vocabulary_ich_1263"
1,MT21,Quicker Frequent Shopping,MT21,High,High degree,Seamlessness/Ease,1,"Automatic Order and Checkout
Automatic Styling or Curatorship
Quick deliveries
Agile shopping experience
","AUTOORDE,AUTOSTYL,QICKDLVR,AGILSHOP","According to ConvenienceStore, “the increase in shoppers looking for meals ‘for the next three days’ is growing with 55% of shoppers claiming to visit a convenience store for a top-up mission, 11% for a meal prep mission and 17% for food-to-go”.
As the shopping experience keeps getting more convenient, people tend to privilege smaller baskets and increase the frequency of their visits to the store. Retailers are accompanying this trend by reducing store’s dimensions, while optimizing their cost per square meter. ",81,"The increase in shoppers looking for meals for the next-three-days is growing: 55% of shoppers claim to visit a convenience store for a top-up mission, 11% for a meal prep mission and 17% for food-to-go.

Driving frequency of visits and encouraging more small basket purchases is likely to be a key driver of growth for retailers in the first half of 2018; and with 77% of shoppers actively look for a promotion, this could be one way for convenience retailers to help encourage one extra item in the basket behaviours.

",,10,10,,,,,80,,https://images.pexels.com/photos/1260305/pexels-photo-1260305.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269"
1,MT22,Body As Interface,MT22,High,High degree,Seamlessness/Ease,3,"Virtual Assistants
Voice Control
Motion Control
Biometric Validation and Analytics
","VIRTASSI,VOICCONT,MOTICONT,BIOMVALI","A social trend that has closely followed the technological advances in interfacing, it is shifting the paradigm of how we connect with machines. There is a reason babies today can outperform their parents on a tablet at the age of 2 (imagine doing that with MS-DOS in the 80s) and there will also be consequences.
For one, there will be zero tolerance for unintuitive UI, users will simply move to one of your 100 competitors for a better experience. We need to build for any human to use, with bonus points if the interface is adaptive to the individual user.",99,"Consumers who already use intelligent voice assistants are leading a behavioral change. In fact, more than half of them believe we will use body language, intonation, touch and gestures to interact with tech just like we do with people; two out of three think this will happen in only three years. 

Today, smartphones are almost synonymous with internet use. But when consumers increasingly interact with other types of tech, they may well start to think about a general need for connectivity. 

Given that one in three intelligent voice assistant users think that eventually they will not be able to open doors, cook food or even brush their teeth without an internet connection, it is clear that reliable connectivity will become all important. ",,20,,,10,,,70,,https://images.pexels.com/photos/8588/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"What Is Zero UI?,Intelligent interfaces -
Reimagining the way humans, machines, and data interact","https://www.fastcompany.com/3048139/what-is-zero-ui-and-why-is-it-crucial-to-the-future-of-design,https://www2.deloitte.com/insights/us/en/focus/tech-trends/2019/human-interaction-technology-intelligent-interface.html",What Is Zero UI?,https://www.fastcompany.com/3048139/what-is-zero-ui-and-why-is-it-crucial-to-the-future-of-design,"Intelligent interfaces -
Reimagining the way humans, machines, and data interact",https://www2.deloitte.com/insights/us/en/focus/tech-trends/2019/human-interaction-technology-intelligent-interface.html,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269"
1,MT23,Mobile Payments,MT23,High,High degree,Seamlessness/Ease,0,"Virtual Card Acceptance
",VIRTCARD,,1,"The lack of providing added value for mobile payments compared to plastic (and cash) has been the cause for the very modest acceptance to digital payments to date. But, with open banking and APIs providing the capability to enhance the customer experience with rewards, instant alerts, etc. the acceptance of mobile payments could be on the verge of significant growth.

“Younger consumers are demanding an exceptional digital payments experience on all platforms – most importantly on their smartphones – and want to be compensated through targeted rewards, offers and discounts, at a cut-throat rate,” states Abbott from Accenture. “These younger consumers will ultimately force traditional banks and payments players to either think beyond the functional aspect of mobile payment apps and create an engaging customer experience, or risk getting squeezed out of the process.”",,10,20,,,,,70,,https://images.pexels.com/photos/935759/pexels-photo-935759.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269"
1,MT24,Corporate Campuses,MT24,High,High degree,Corporate Responsibility,1,"Corporate Oasis
",CORPOASI,,1,"Tech companies are beginning to re-think the isolated corporate campus model in favor of designs that attempt to create lively neighborhoods. Box decided to site its headquarters above a Caltrain station in redwood City.  Facebook tapped OMA to design a “mixed use village,” complete with retail and housing, so employees can live closer to its Menlo Park Campus. Google plans to treat the green space in its forthcoming Mountain View campus as public amenities to encourage more integration with the community, too.",,,,,,,50,30,20,https://images.pexels.com/photos/34092/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,,,,,,,,> 2 Years,"vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286"
