Trend ID,Trend Title,Main mega trend,Images,New Description,Word Count,Old description,threat_categories,helper
MT15,A-Commerce,Seamlessness/Ease,https://images.pexels.com/photos/1781489/pexels-photo-1781489.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Technology has finally matured enough for customers to start trusting it to avoid some of the most inefficient parts of their shopping experience. Machine learning is helping people to complete their shopping list while artificial vision is enabling the skipping of those never-ending checkout lines. Many other applications are being implemented to optimize people's time and maximize their life quality. ,61,"Because in 2018, shoppers with more important things to do – and that's all of them – will embrace the outsourcing of certain retail experiences to algorithms and smart devices. A world of A-COMMERCE means the automation of hunting, negotiating, purchasing, delivery arrangements and more. ","vocabulary_ich_1268,vocabulary_ich_1263,vocabulary_ich_1269","vocabulary_ich_1268,vocabulary_ich_1263,vocabulary_ich_1269,"
MT16,Eternal Newbies,Informed People,https://images.pexels.com/photos/313690/pexels-photo-313690.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"The massification of online courses reflects the increasing effort that is needed nowadays to keep up with technology advancements. Knowledge is more accessible then ever, but also more volatile. Learning is a continuous process and people are looking for the right tools to keep on board of the train to the future. ",53,"As many as 30 percent of respondents say new technology makes it impossible to keep their skills up to date. This means some of us feel like total beginners even when performing everyday routine tasks.
The pace of technological change is increasing almost every day, and it is easy to feel stress at not being able to keep up. For some, this is probably manifested as a feeling of helplessness. [1] But for many, it may present an opportunity. In fact, almost half of consumers think technology will make learning even advanced professions much quicker. On the other hand, endeavors to learn and relearn will be a never-ending rat race, with 55 percent believing that technological change will accelerate the pace of change in skills needed at work. ","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284,"
MT17,Renewable Charged Future,Sustainability,https://images.pexels.com/photos/1108814/pexels-photo-1108814.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Collected from renewable sources such as sunlight, wind, rain, tides, waves and geothermal heat, renewable energy is charging the future. “It is expected that by 2040 the production of renewable electricity will be able to guarantee, in a cost-effective way, the total annual electricity consumption of mainland Portugal” advanced the Portuguese Renewable Energy Association as in March 2018, renewable energy generated 104% of Portugal's electricity consumption. According to the same source, this successful event demonstrated that “renewable energy can be relied upon as a secure and viable source with which to completely meet the country's electricity demands”. Some of the biggest companies in the world, including Apple, Facebook, Google, and Microsoft, are massively buying renewable energy and, consequently, reshaping the entire supply chain. “The IT sector has been responsible for more than 7GW of new renewable energy globally – enough to power 5m homes” says Gary Cook, Greenpeace's senior corporate campaigner. ",152,"A connected world will require mobile power. Keeping the power flowing will be as critical as maintaining connectivity; if either goes down, instant disruption will ensue.
There are of course many aspects to how we will power our hyper-connected lives. Sustainability of resources might be one reason why consumers now rate electricity as the most popular energy source – 48 percent even think electricity should power airplanes. ","vocabulary_ich_1284,vocabulary_ich_1286","vocabulary_ich_1284,vocabulary_ich_1286,"
MT18,Gut-Friendly Food,Corporate Responsibility,https://images.pexels.com/photos/1640777/pexels-photo-1640777.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Without touching the discussion topic to what caused this movement, it is unquestionably that there is a fast-rising concern for how ""gut-friendly"" the food we buy really is. Fashionable expressions such as pro or prebiotics are dealbreakers in the daily choices made by a growingly significant segment of society. To the unaware, the myriad of intolerances we hear about seems to have sprung from nowhere, but it certainly drove an unforeseen demand for the likes of tempeh, kefir, kimchi, flaxseed, and anything else that helps the consumer to steer clear from the wide selection of ingredients they've found harmful (think gluten, sat, unsat or trans fat, lactose, etc...).",108,"2017 was full of lactose, dairy and gluten intolerances. So this year, everyone's going to be looking out for your gut. With fermenting, pickling and preserving gaining popularity for their gut benefits, foods such as a kimchi, miso and kefir will be seeing a surge in 2018. 


Read more at:
//economictimes.indiatimes.com/articleshow/62466825.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst","vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1284","vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1284,"
MT20,Zero Waste,Sustainability,https://images.pexels.com/photos/128421/pexels-photo-128421.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Less than a quarter of the food that is wasted in the US, UK and Europe could feed the one billion hungry people all around the world. With an estimation of 1.3 billion tonnes of food being wasted every year, people are looking for this topic with particular concern and expect the companies where they spend their money to tackle this issue.",62,"By taking environmental impacts and the extent of food waste into consideration, consumer behaviour is shifting with individuals becoming more ethically inclined. As costs of living increase, individuals are focusing on ensuring zero waste when cooking from home. Waitrose suggested that instead of following three meals a day or eating excessively, consumers tend to graze throughout the day and adjust their eating routine to suit their busy lives. Likewise, fewer people are choosing to do a weekly ‘big shop', and are instead opting to purchase fresh produce multiple times per week. This behaviour will continue to contribute to reducing waste, as less product is being thrown out. According to Whole Foods, food manufacturers are responding to this shift in consumer behaviour and values “by using parts of plants or animals that were once considered trash, such as pickled watermelon rinds or broccoli-stem slaw”.

","vocabulary_ich_1284,vocabulary_ich_1286","vocabulary_ich_1284,vocabulary_ich_1286,"
MT21,Foreign Residents,Corporate Responsibility,https://images.pexels.com/photos/109919/pexels-photo-109919.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Total foreign residency in Portugal has been steadily rising for a few years, to a point where a significant demographic segment has different primary languages and cultures. If the current political climate remains relatively stable, this is only expected to accelerate.
With today's advances in personalization, behavior analysis and related tools, great oportunities lie in adjusting supply to a changing customer base.",61,"In particular the French, could mean great opportunities. Also economic migrants etc.","vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1284,vocabulary_ich_1269","vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1284,vocabulary_ich_1269,"
MT22,Online Learning,Seamlessness/Ease,https://images.pexels.com/photos/6335/man-coffee-cup-pen.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Today's means of acquiring knowledge in any topic is widely different from a few years ago. Content creation in the web today has reached a granularity that allows for whomever, with whichever skillbase to quickly find informative content from the most practical topics such as ""How to: fry, bake, poach and scramble eggs"" to the most complex and abstract subjects in Advanced Mathematics or Quantum Mechanics.
While true volume exists mostly in english, with instant contextual translation making strides, it is all quickly being democratized to all.
This trend is being felt at the corporate level too, with Google, Apple and other powerhouses announcing that academic degrees are no longer weighted the way they were.
Companies should much rather employ someone who can quickly and effectively learn skill X when current standard Y turns obsolete than a proven expert in Y.",138,"Tambem inclui saber como demolhar bacalhau: tutoriais youtube
2. The next wave of learning credentials. One of the most disrupted industries is education, with more third parties offering courses, credentials and certifications than ever before. There is now an abundance of online courses provided by LinkedIn Learning, Coursera, edX, Udemy, Udacity, The Khan Academy and others. Pew Research reports that self-directed learning is driving the need for new credentialing systems. More employees will be accepting different types of credentials as they seek to build diverse talent pools and expand their reach. Almost three out of every four adults agrees that individuals have the responsibility to make sure that the workforce has the right skills and education to be successful in today's economy compared to only 52% of colleges and 49% of employers. Younger generations are starting to resist the traditional degree due to the ever increasing cost of tuition, which grew by nine percent from last year for four-year public schools. Some are avoiding college altogether and are pursuing these free or low cost online courses that provide enough education on important skills to get by. As companies continue to accept non-traditional credentials, students will be able to avoid debt and study at their own convenience, without fear of unemployment.","vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286","vocabulary_ich_1287,vocabulary_ich_1263,vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286,"
MT23,Liquid Expectations,Informed People,https://images.pexels.com/photos/1028637/pexels-photo-1028637.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"People will compare players, even from different industries, using the same criteria. Customers are indifferent to cost structure: if a store offers free bags, they'll expect the same treat from every other store. To stay competitive, companies should be able to optimize their cost structure and establish what's essential to provide what the customers are expecting. To do so, they must understand that people's expectations can come from the least expectable places.
Take Nike's Sneaker Bar as an example: customers can visit this venue to customize the production of their new sneakers, but they can also expect to be assisted by the store's staff in the same way that they would be attended by a doctor in an hospital.
",118,"People are not available to pay much for commodities. Companies need to control the costs to serve even better. Ver o exemplo das  Companhias Low cost.

Gone are the days where customers would only compare you to your direct competitors. Today's customer compares you to all brands with which they interact. Accenture refers to this phenomenon as “Liquid Expectations.” For example, even if Apple's products don't compete with yours, customers are comparing your website to Apple.com.

Another example is Delta: if you call them to check on your flight, they identify you using your phone number and provide relevant flight information without requiring any other input from you. But the next time you're shopping online and start a chat, you're disappointed when the company doesn't know who you are and instantly provide relevant information. You wonder, if Delta can do it, why can't this website do it? Companies need to recognize that customers have Liquid Expectations, and adopt a broader, more holistic view of how customers interact with the world.","vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1263,vocabulary_ich_1269","vocabulary_ich_1265,vocabulary_ich_1287,vocabulary_ich_1267,vocabulary_ich_1263,vocabulary_ich_1269,"
MT24,Aging Workforce,Corporate Responsibility,https://images.pexels.com/photos/1254690/pexels-photo-1254690.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"It is no secret that the portuguese demographic pyramid is getting dangerously top-heavy. What may be changing, at least in the professional market, is what companies can use to face this threat. Companies should brace for a powerful hit in the form of retirement benefits and healthcare as baby boomers maintain leadership and it simultaneously becomes harder to attract (and maintain) young talent. The uberization of every field is one way this is being tackled (or rather, circumvented), but awareness (and investment along with it) needs to increase for companies to find creative ways of facing this looming threat.",99,"The workforce is continuing to age, with baby boomers living longer than previous generations and retiring later. About three in every four Americans plan to work past retirement age and almost two-thirds said they will continue to work part-time. Pew Research estimates that the number of people 65 and older is projected to triple by mid-century from 531 million in 2010 to 1.5 billion by 2050. The population of seniors in the U.S. is expected to more than double from 41 to 86 million during this time and almost triple in China from 8.3% in 2010 to 24% by 2050. About ten thousand baby boomers turn 65 each day, yet fewer than half said they expect to retire by 65. Just over a third of companies are preparing for this projected increase in older workers and it will come at a major cost to companies in the form of retirement benefits, healthcare and equal opportunity. As baby boomers maintain their leadership positions, it will be harder for younger workers to rise up in their organizations and could lead to higher turnover, stress and frustration.

",vocabulary_ich_1284,"vocabulary_ich_1284,"
MT26,Non-Linear Interactive Video Content,Hiper Personalization,https://images.pexels.com/photos/265685/pexels-photo-265685.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Over the last few years, society has embraced connected devices and progressively divorced traditional linear content services. Over-the-top (OTT) video from players such as Netflix, Amazon Fire TV, Apple TV or Roku had a delayed start in the Portuguese market, as is usual, but this makes it all the more relevant for side business to rethink their content design and marketing. Advertisers today have a blank canvas full of opportunities to connect with consumers in a previously impossibly organic, personalized manner.",81,"WIDE ADOPTION AND MARKET GROWTH FOR CONNECTED TV
Over the past five years, TV viewers have embraced connected devices from brands like  Amazon Fire TV, Apple TV, Roku and others as a way to watch programming. While linear TV still represents the majority of viewers' watch time—with over 132 hours of linear TV viewing per month versus 42 hours per month using connected TV devices—there's no question the OTT space is a major growth market.

At Nielsen, our data shows that two-thirds of Americans own at least a single connected device, enabling 224 million people to consume media and advertising on their terms, from catching a live episode of their favorite sitcom to binge-watching an entire season of a show through an OTT app. Simply put, connected TV has made living room viewing a more personalized, choice-driven experience and has opened the door to new premium opportunities for advertisers to connect with consumers.","vocabulary_ich_1267,vocabulary_ich_1263","vocabulary_ich_1267,vocabulary_ich_1263,"
MT28,Quicker Frequent Shopping,Seamlessness/Ease,https://images.pexels.com/photos/1260305/pexels-photo-1260305.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"According to ConvenienceStore, “the increase in shoppers looking for meals ‘for the next three days' is growing with 55% of shoppers claiming to visit a convenience store for a top-up mission, 11% for a meal prep mission and 17% for food-to-go”.
As the shopping experience keeps getting more convenient, people tend to privilege smaller baskets and increase the frequency of their visits to the store. Retailers are accompanying this trend by reducing store's dimensions, while optimizing their cost per square meter. ",81,"The increase in shoppers looking for meals for the next-three-days is growing: 55% of shoppers claim to visit a convenience store for a top-up mission, 11% for a meal prep mission and 17% for food-to-go.

Driving frequency of visits and encouraging more small basket purchases is likely to be a key driver of growth for retailers in the first half of 2018; and with 77% of shoppers actively look for a promotion, this could be one way for convenience retailers to help encourage one extra item in the basket behaviours.

","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269,"
MT33,Body As Interface,Seamlessness/Ease,https://images.pexels.com/photos/8588/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"A social trend that has closely followed the technological advances in interfacing, it is shifting the paradigm of how we connect with machines. There is a reason babies today can outperform their parents on a tablet at the age of 2 (imagine doing that with MS-DOS in the 80s) and there will also be consequences.
For one, there will be zero tolerance for unintuitive UI, users will simply move to one of your 100 competitors for a better experience. We need to build for any human to use, with bonus points if the interface is adaptive to the individual user.",99,"Consumers who already use intelligent voice assistants are leading a behavioral change. In fact, more than half of them believe we will use body language, intonation, touch and gestures to interact with tech just like we do with people; two out of three think this will happen in only three years. 

Today, smartphones are almost synonymous with internet use. But when consumers increasingly interact with other types of tech, they may well start to think about a general need for connectivity. 

Given that one in three intelligent voice assistant users think that eventually they will not be able to open doors, cook food or even brush their teeth without an internet connection, it is clear that reliable connectivity will become all important. ","vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269","vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269,"
MT34,Mobile Payments,Seamlessness/Ease,https://images.pexels.com/photos/935759/pexels-photo-935759.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,1,"The lack of providing added value for mobile payments compared to plastic (and cash) has been the cause for the very modest acceptance to digital payments to date. But, with open banking and APIs providing the capability to enhance the customer experience with rewards, instant alerts, etc. the acceptance of mobile payments could be on the verge of significant growth.

“Younger consumers are demanding an exceptional digital payments experience on all platforms – most importantly on their smartphones – and want to be compensated through targeted rewards, offers and discounts, at a cut-throat rate,” states Abbott from Accenture. “These younger consumers will ultimately force traditional banks and payments players to either think beyond the functional aspect of mobile payment apps and create an engaging customer experience, or risk getting squeezed out of the process.”","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1269,"
MT36,Corporate Campuses,Corporate Responsibility,https://images.pexels.com/photos/34092/pexels-photo.jpg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,1,"Tech companies are beginning to re-think the isolated corporate campus model in favor of designs that attempt to create lively neighborhoods. Box decided to site its headquarters above a Caltrain station in redwood City.  Facebook tapped OMA to design a “mixed use village,” complete with retail and housing, so employees can live closer to its Menlo Park Campus. Google plans to treat the green space in its forthcoming Mountain View campus as public amenities to encourage more integration with the community, too.","vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286","vocabulary_ich_1284,vocabulary_ich_1269,vocabulary_ich_1286,"
MT37,Try Before You Buy,Informed People,https://images.pexels.com/photos/404159/pexels-photo-404159.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Reviews, good pictures and nice displays are not enough anymore. The biggest friction in eCommerce is the fact that, before buying a product, people still want to feel its touch, taste or smell. And whoever's capable of providing that will get the upper hand over those who can't.",48,"Since many users aren't going to be able to physically touch a product before they buy it, brands need to come up with creative ways to help people “experience” it online. Think of ways to bring your product to life online so it stands out—like using virtual reality or augmented reality—such as L'Oréal's Makeup Genius app that lets users virtually try on makeup.

There's a whole community of creators testing and evaluating products, including yours. That means users will be validating any claims you make, so make sure your product can live up to them.

An alternative is Warby Parker's model of sending 5 pairs of glasses to the client's home for some time and letting them return whichever they dislike.","vocabulary_ich_1287,vocabulary_ich_1263","vocabulary_ich_1287,vocabulary_ich_1263,"
MT38,Welcome Tourism,Experiences,https://images.pexels.com/photos/1167192/pexels-photo-1167192.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,1,,"vocabulary_ich_1265,vocabulary_ich_1287","vocabulary_ich_1265,vocabulary_ich_1287,"
MT41,War On Plastic,Sustainability,https://images.pexels.com/photos/761297/pexels-photo-761297.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"According to BBC, 400 million tons of plastic is produced every year with 40% of its applications being thrown out after the first use. Plastic is not biodegradable, which means it will stay around for hundreds of years – representing a big threat for the environment. 
The debate on reducing plastic production is gathering more followers every day and people expect retailers to be a part of the process to save the world. Sustainable materials for packaging and bulk food are some of the solutions that customers value and are willing to pay extra to get. ",97,"Solid waste and pollution issues are catching up with plastic, so much so that 2018 could mark the beginning of a “war on plastic.” Packaged goods makers are beginning to move away from traditional plastic packaging, and toward sustainable options like sugarcane “plastic” tubes as well as bowls made from plant fibers. But the “war on plastic” is about more than just packaging; growing concern over the presence of microplastics in the oceans land water eco systems is casting the long term viability of personal care ingredients like microbeads and glitter into question. Look for beverage makers to respond to the trend, as Nestle Waters North America is doing in February with the launch of Nestlé Pure Life purified water in new bottles made from 100 percent food grade recycled plastic (rPET).

","vocabulary_ich_1284,vocabulary_ich_1286","vocabulary_ich_1284,vocabulary_ich_1286,"
MT42,Lifecasting,Continuous Connection,https://images.pexels.com/photos/267350/pexels-photo-267350.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Consumers are shifting their attention from TV to Youtube, Facebook and Instagram. Social media influencers are the new epicenter of new lifestyles, behaviors and social trends. This represents an opportunity for retailers to promote their products in a more decentralized (and effective) way. Companies who provide digital sharable products and experiences increase their reach with continuously growing scalability. ",59,Obsolete description (Apps and hardware made for sharing outfits to communities are here to stay. With the launch of the Amazon Echo Look and the lingering popularization of smart mirrors in fashiong stores (see Alibaba's/Guess's FashionAI concept store) we expect to see people sharing a lot more of their fashion choices.),"vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1267","vocabulary_ich_1268,vocabulary_ich_1287,vocabulary_ich_1267,"
MT43,P2P 2.0 Payment,Seamlessness/Ease,https://images.pexels.com/photos/618544/pexels-photo-618544.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,1,MB WAY; Venmo; Zelle; Apple Pay; Square cash,"vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269","vocabulary_ich_1268,vocabulary_ich_1267,vocabulary_ich_1269,"
MT46,Functional Food,Health And Wellness,https://images.pexels.com/photos/988865/pexels-photo-988865.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,,1,"E.g. Food for stress relief or energy foods

The often contradictory advice on what to avoid finds many consumers more interested in what food and drink offers instead of what it lacks. This affirmational approach maintains the importance of formulating with the natural and often nutritional ingredients of fruits, vegetables, grains, seeds, herbs, spices, botanicals, and other plant-based ingredients as noted in ‘Power to the Plants,' one of Mintel's 2017 Global Food & Drink Trends. Plants are just one component of balanced diets, with many consumers creating personalised diets that also prioritise consuming sufficient protein, staying hydrated, and allowing themselves theoccasional treat. Permission to enjoy treats or satisfy cravings is an integral aspect of self-care that particularly addresses the
widespread need for stress relief. For example, Mintel research reveals that 52% of Thai, 45% of Australian,
and 43% of Indonesian adult
metropolitan consumers say
managing or releasing stress
properly is an important factor for a healthy lifestyle.","vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1263","vocabulary_ich_1264,vocabulary_ich_1267,vocabulary_ich_1263,"
